Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
776.55262	776.5541	.0014	PE O-36:1	C41H82NO7PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PE O-36:1
809.68507	809.6895	.0044	SM 43:2;O2	C48H95N2O6P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=SM 43:2;O2
787.58296	787.5847	.0018	PG O-38:3	C44H83O9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PG O-38:3
787.58296	787.5847	.0018	PG 38:1	C44H85O10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG 38:1
787.58296	787.5823	.0006	PG O-36:0	C42H85O9PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PG O-36:0
787.58296	787.5823	.0007	TG 44:4	C47H82O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 44:4
841.68418	841.6793	.0049	PC O-40:4	C48H90NO7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC O-40:4
762.57044	762.5643	.0061	PS O-35:1	C41H80NO9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PS O-35:1
762.57044	762.5796	.0092	PE O-40:5	C45H82NO7P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PE O-40:5
762.57044	762.5643	.0061	PG O-35:3	C41H77O9P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PG O-35:3
859.71136	859.7174	.0060	TG 54:7	C57H96O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 54:7
761.5675	761.5691	.0016	PG O-36:2	C42H81O9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PG O-36:2
761.5675	761.5691	.0016	PG 36:0	C42H83O10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG 36:0
761.5675	761.5667	.0009	TG 42:3	C45H80O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 42:3
849.72656	849.7330	.0065	TG 53:5	C56H98O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 53:5
855.64579	855.6473	.0016	PG 43:2	C49H93O10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG 43:2
855.64579	855.6449	.0009	PG O-41:1	C47H93O9PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PG O-41:1
855.64579	855.6473	.0015	TG 51:8	C54H88O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 51:8
855.64579	855.6433	.0025	IPC 38:0;O2	C44H88NO11P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=IPC 38:0;O2
855.64579	855.6449	.0009	TG 49:5	C52H90O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 49:5
766.65279	766.6555	.0027	HexCer 40:1;O2	C46H89NO8	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=HexCer 40:1;O2
754.57094	754.5745	.0036	PC O-35:4	C43H80NO7P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC O-35:4
754.57094	754.5745	.0036	PE O-38:4	C43H80NO7P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE O-38:4
754.57094	754.5745	.0036	PC 35:2	C43H82NO8P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PC 35:2
754.57094	754.5745	.0036	PE 38:2	C43H82NO8P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PE 38:2
754.57094	754.5721	.0012	PC O-33:1	C41H82NO7PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC O-33:1
754.57094	754.5721	.0012	PE O-36:1	C41H82NO7PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE O-36:1
754.57094	754.5745	.0036	PA O-40:5	C43H77O7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA O-40:5
764.62627	764.6164	.0099	PA 39:0	C42H83O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 39:0
576.57032	576.5714	.0011	Cer 38:1;O2	C38H75NO3	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=Cer 38:1;O2
576.57032	576.5714	.0011	WE 38:3	C38H70O2	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=WE 38:3
841.7202	841.7157	.0045	SM 44:2;O2	C49H97N2O6P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=SM 44:2;O2
841.7202	841.7280	.0078	TG 51:4	C54H96O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 51:4
841.7202	841.7256	.0054	TG 49:1	C52H98O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 49:1
807.68025	807.6837	.0035	PG dO-40:0	C46H95O8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PG dO-40:0
807.68025	807.6861	.0058	TG 50:5	C53H92O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 50:5
839.6717	839.6637	.0080	PC O-40:5	C48H88NO7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC O-40:5
790.64201	790.6403	.0017	HexCer 38:0;O4	C44H87NO10	[M+H]+	/resources/tools/chemdb_ontology?abbrev=HexCer 38:0;O4
790.64201	790.6320	.0100	PC 36:0	C44H88NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 36:0
790.64201	790.6320	.0100	PE 39:0	C44H88NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 39:0
790.64201	790.6320	.0100	PA 41:1	C44H85O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 41:1
771.60925	771.6093	.0001	HexCer 37:3;O3	C43H79NO9	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=HexCer 37:3;O3
771.60925	771.6011	.0082	PC O-35:4	C43H80NO7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC O-35:4
771.60925	771.6011	.0082	PE O-38:4	C43H80NO7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PE O-38:4
616.56269	616.5639	.0012	Cer 38:1;O2	C38H75NO3Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=Cer 38:1;O2
783.66998	783.6738	.0039	SM 41:1;O2	C46H93N2O6P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=SM 41:1;O2
809.64922	809.6507	.0015	SM 40:1;O2	C45H91N2O6PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=SM 40:1;O2
788.67019	788.6763	.0061	TG 46:4	C49H86O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 46:4
788.67019	788.6640	.0062	SM 39:2;O2	C44H87N2O6P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=SM 39:2;O2
875.74266	875.7487	.0060	TG 55:6	C58H100O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 55:6
789.67325	789.6732	.0001	PG dO-40:0	C46H95O8P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG dO-40:0
867.73679	867.7436	.0068	TG 53:5	C56H98O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 53:5
867.73679	867.7412	.0044	TG 51:2	C54H100O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 51:2
867.73679	867.7289	.0078	SM 44:0;O2	C49H101N2O6PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=SM 44:0;O2
821.69603	821.7017	.0057	TG 51:5	C54H94O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 51:5
892.74192	892.7389	.0031	TG 54:8	C57H94O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 54:8
813.68339	813.6844	.0010	SM 42:2;O2	C47H93N2O6P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=SM 42:2;O2
813.68339	813.6926	.0092	HexCer 41:2;O2	C47H89NO8	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=HexCer 41:2;O2
835.66513	835.6663	.0012	SM 42:2;O2	C47H93N2O6PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=SM 42:2;O2
882.68628	882.6922	.0059	PC 41:0	C49H98NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 41:0
882.68628	882.6922	.0059	PE 44:0	C49H98NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 44:0
882.68628	882.6769	.0094	HexCer 44:2;O2	C50H95NO8Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=HexCer 44:2;O2
903.65213	903.6586	.0064	PC 44:8	C52H88NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 44:8
903.65213	903.6449	.0072	TG 53:9	C56H90O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 53:9
