Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
797.5621	797.5556	.0065	SHexCer 34:1;O2	C40H77NO11S	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=SHexCer 34:1;O2
667.5609	667.5660	.0051	DG 41:5	C44H76O5	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=DG 41:5
609.60173	609.5929	.0089	Cer 38:2;O2	C38H73NO3	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=Cer 38:2;O2
825.58289	825.5851	.0022	PI O-34:0	C43H85O12P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PI O-34:0
825.58289	825.5869	.0040	SHexCer 36:1;O2	C42H81NO11S	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=SHexCer 36:1;O2
825.58289	825.5752	.0076	PE 40:6;O	C45H78NO9P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PE 40:6;O
740.52172	740.5225	.0008	PC 33:4	C41H74NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 33:4
740.52172	740.5225	.0008	PE 36:4	C41H74NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 36:4
740.52172	740.5225	.0008	PE O-36:5;O	C41H74NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE O-36:5;O
740.52172	740.5225	.0008	PS O-35:3	C41H76NO9P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS O-35:3
740.52172	740.5201	.0016	PC 31:1	C39H76NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 31:1
740.52172	740.5201	.0016	PE 34:1	C39H76NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 34:1
740.52172	740.5225	.0008	PA 38:5	C41H71O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 38:5
740.52172	740.5169	.0049	CL 74:7	C83H148O17P2	[M+2H]2+	/resources/tools/chemdb_ontology?abbrev=CL 74:7
787.52766	787.5248	.0028	PA 41:5	C44H77O8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PA 41:5
787.52766	787.5232	.0045	PS 35:4	C41H72NO10P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PS 35:4
787.52766	787.5224	.0052	PA 39:2	C42H79O8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PA 39:2
636.59118	636.5925	.0013	Cer 40:2;O3	C40H77NO4	[M+H]+	/resources/tools/chemdb_ontology?abbrev=Cer 40:2;O3
786.50515	786.5068	.0017	PE 40:9	C45H72NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 40:9
786.50515	786.5044	.0007	PC 35:6	C43H74NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 35:6
786.50515	786.5044	.0007	PE 38:6	C43H74NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 38:6
786.50515	786.5044	.0007	PE O-38:7;O	C43H74NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE O-38:7;O
786.50515	786.5068	.0017	PA 42:10	C45H69O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 42:10
786.50515	786.5127	.0076	PI 29:0	C38H73O13P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PI 29:0
786.50515	786.5151	.0099	MGDG 36:9	C45H68O10	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=MGDG 36:9
786.50515	786.5020	.0031	PC 33:3	C41H76NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PC 33:3
786.50515	786.5020	.0031	PE 36:3	C41H76NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PE 36:3
760.48784	760.4912	.0033	PE 38:8	C43H70NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 38:8
760.48784	760.4888	.0009	PC 33:5	C41H72NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 33:5
760.48784	760.4888	.0009	PE 36:5	C41H72NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 36:5
760.48784	760.4912	.0033	PA 40:9	C43H67O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 40:9
760.48784	760.4832	.0047	CL 74:9	C83H144O17P2Na2	[M+2Na]2+	/resources/tools/chemdb_ontology?abbrev=CL 74:9
