Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
624.52036	624.5128	.0076	Cer 38:3;O2	C38H71NO3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=Cer 38:3;O2
624.52036	624.5209	.0005	Cer 36:2;O3	C36H69NO4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 36:2;O3
624.52036	624.5209	.0005	Cer 35:2;O3	C35H67NO4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=Cer 35:2;O3
626.5352	626.5285	.0067	Cer 38:2;O2	C38H73NO3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=Cer 38:2;O2
626.5352	626.5365	.0013	Cer 36:1;O3	C36H71NO4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 36:1;O3
852.62181	852.6124	.0094	PS O-42:4	C48H88NO9P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PS O-42:4
852.62181	852.6255	.0037	PC 38:0	C46H92NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PC 38:0
852.62181	852.6255	.0037	PE 41:0	C46H92NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PE 41:0
852.62181	852.6124	.0094	PE O-42:5	C47H86NO7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PE O-42:5
852.62181	852.6124	.0094	PC O-38:5	C46H84NO7P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PC O-38:5
628.54205	628.5441	.0021	Cer 38:1;O2	C38H75NO3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=Cer 38:1;O2
656.49932	656.4893	.0100	CerPE 34:3;O2	C36H69N2O6P	Neutral	/resources/tools/chemdb_ontology?abbrev=CerPE 34:3;O2
729.55917	729.5552	.0040	CerPE 38:2;O3	C40H79N2O7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=CerPE 38:2;O3
729.55917	729.5675	.0083	DG 41:5	C44H76O5	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=DG 41:5
729.55917	729.5675	.0083	DG 40:5	C43H74O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=DG 40:5
729.55917	729.5672	.0081	PC O-33:2	C41H80NO7P	Neutral	/resources/tools/chemdb_ontology?abbrev=PC O-33:2
729.55917	729.5672	.0081	PE O-36:2	C41H80NO7P	Neutral	/resources/tools/chemdb_ontology?abbrev=PE O-36:2
655.5239	655.5307	.0068	DG 39:5	C42H72O5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=DG 39:5
655.5239	655.5226	.0013	CE 16:2	C43H72O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=CE 16:2
746.3824	746.3886	.0062	PS 30:4;O3	C36H62NO13P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PS 30:4;O3
529.42599	529.4262	.0003	FA 32:5	C32H54O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 32:5
796.47844	796.4690	.0095	PE 38:7	C43H72NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PE 38:7
736.35351	736.3435	.0100	PI 25:4;O2	C34H57O15P	Neutral	/resources/tools/chemdb_ontology?abbrev=PI 25:4;O2
747.38552	747.3857	.0002	PI 25:0	C34H65O13P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PI 25:0
770.46294	770.4533	.0096	PE 36:6	C41H70NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PE 36:6
639.53926	639.5358	.0035	CE 14:1	C41H70O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=CE 14:1
727.45776	727.4556	.0022	PG 33:4	C39H69O10P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PG 33:4
727.45776	727.4556	.0022	PA 35:4	C38H67O8P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PA 35:4
727.45776	727.4556	.0022	PA 34:4	C37H65O8P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PA 34:4
757.41425	757.4145	.0002	PI 25:0	C34H65O13P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PI 25:0
757.41425	757.4145	.0002	PI 24:0	C33H63O13P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PI 24:0
738.35144	738.3471	.0043	PS 26:3;O3	C32H56NO13P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PS 26:3;O3
738.35144	738.3471	.0043	PS 25:3;O3	C31H54NO13P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PS 25:3;O3
738.35144	738.3592	.0077	PI 25:3;O2	C34H59O15P	Neutral	/resources/tools/chemdb_ontology?abbrev=PI 25:3;O2
760.43402	760.4406	.0066	PS 31:3	C37H66NO10P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PS 31:3
760.43402	760.4406	.0066	PS 30:3	C36H64NO10P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PS 30:3
