Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
221.07625	221.0819	.0057	FA 12:5;O2	C12H14O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 12:5;O2
221.07625	221.0819	.0057	SFE 11:5	C11H12O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 11:5
221.07625	221.0667	.0096	FA 7:1;O3	C7H12O5	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 7:1;O3
221.07625	221.0819	.0057	FA 10:5	C10H10O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 10:5
221.07625	221.0667	.0096	FA 6:1;O3	C6H10O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 6:1;O3
341.12007	341.1242	.0041	FA 14:5;O4	C14H18O6	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 14:5;O4
341.12007	341.1240	.0039	PC 4:0	C12H24NO8P	Neutral	/resources/tools/chemdb_ontology?abbrev=PC 4:0
397.21484	397.2151	.0003	FA 22:5;O2	C22H34O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5;O2
397.21484	397.2232	.0083	FA 20:4;O3	C20H32O5	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4;O3
397.21484	397.2232	.0083	ST 19:1;O5	C19H30O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 19:1;O5
397.21484	397.2229	.0081	LPC 9:0	C17H36NO7P	Neutral	/resources/tools/chemdb_ontology?abbrev=LPC 9:0
397.21484	397.2229	.0081	LPE 12:0	C17H36NO7P	Neutral	/resources/tools/chemdb_ontology?abbrev=LPE 12:0
209.06721	209.0586	.0086	FA 8:1;O2	C8H14O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 8:1;O2
209.06721	209.0667	.0005	FA 6:0;O3	C6H12O5	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 6:0;O3
209.06721	209.0667	.0005	FA 5:0;O3	C5H10O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 5:0;O3
388.23381	388.2341	.0003	CAR 10:1;O	C17H31NO5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=CAR 10:1;O
388.23381	388.2320	.0018	PG 37:7	C43H71O10P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PG 37:7
388.23381	388.2250	.0088	FA 23:7;O3	C23H32O5	Neutral	/resources/tools/chemdb_ontology?abbrev=FA 23:7;O3
388.23381	388.2250	.0088	ST 23:4;O5	C23H32O5	Neutral	/resources/tools/chemdb_ontology?abbrev=ST 23:4;O5
211.09747	211.0976	.0001	FA 10:3	C10H14O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 10:3
211.09747	211.0976	.0001	FA 9:3	C9H12O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 9:3
211.09747	211.0976	.0001	WE 9:3	C9H12O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=WE 9:3
211.09747	211.0976	.0001	FA 22:6;O6	C22H32O8	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FA 22:6;O6
372.2388	372.2392	.0004	CAR 12:1;O2	C19H35NO6	[M-H]-	/resources/tools/chemdb_ontology?abbrev=CAR 12:1;O2
372.2388	372.2392	.0004	CAR 10:1	C17H31NO4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=CAR 10:1
372.2388	372.2371	.0017	PA 40:7	C43H71O8P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PA 40:7
372.2388	372.2412	.0024	MGDG 34:6	C43H70O10	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=MGDG 34:6
584.29163	584.2994	.0078	LPE 22:6	C27H44NO7P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=LPE 22:6
584.29163	584.2962	.0045	LPI 17:1	C26H49O12P	Neutral	/resources/tools/chemdb_ontology?abbrev=LPI 17:1
584.29163	584.2962	.0045	PG 20:1;O2	C26H49O12P	Neutral	/resources/tools/chemdb_ontology?abbrev=PG 20:1;O2
422.23909	422.2313	.0078	LPE 14:1	C19H38NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPE 14:1
422.23909	422.2313	.0078	PC O-12:1	C20H40NO7P	[M-CH3]-	/resources/tools/chemdb_ontology?abbrev=PC O-12:1
422.23909	422.2433	.0043	LPA 17:1	C20H39O7P	Neutral	/resources/tools/chemdb_ontology?abbrev=LPA 17:1
271.14854	271.1470	.0015	SFE 15:3	C15H24O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=SFE 15:3
271.14854	271.1470	.0015	WE 15:3	C15H24O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 15:3
271.14854	271.1551	.0066	FA 12:2;O	C12H20O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 12:2;O
271.14854	271.1551	.0066	SFE 12:2;O	C12H20O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 12:2;O
242.18611	242.1882	.0021	FA 14:1;O	C14H26O3	Neutral	/resources/tools/chemdb_ontology?abbrev=FA 14:1;O
242.17604	242.1671	.0090	FA 17:6;O	C17H22O	Neutral	/resources/tools/chemdb_ontology?abbrev=FA 17:6;O
224.12928	224.1301	.0008	LPA 19:1	C22H43O7P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=LPA 19:1
224.12928	224.1298	.0005	PC 26:3;O2	C34H62NO10P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=PC 26:3;O2
224.12928	224.1298	.0005	PS 28:2	C34H62NO10P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=PS 28:2
145.08694	145.0870	.0001	FA 7:0;O	C7H14O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 7:0;O
145.08694	145.0870	.0001	SFE 7:0;O	C7H14O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 7:0;O
145.08694	145.0843	.0027	LPA 18:0	C21H43O7P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=LPA 18:0
239.12872	239.1289	.0002	FA 12:3	C12H18O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 12:3
239.12872	239.1289	.0002	FA 11:3	C11H16O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 11:3
239.12872	239.1289	.0002	SFE 11:3	C11H16O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 11:3
508.26783	508.2681	.0003	LPS 17:1	C23H44NO9P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPS 17:1
508.26783	508.2681	.0003	LPE 17:2	C22H42NO7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=LPE 17:2
225.06147	225.0688	.0073	FA 12:5	C12H14O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 12:5
225.06147	225.0535	.0079	FA 8:1;O3	C8H14O5	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 8:1;O3
225.06147	225.0616	.0001	FA 6:0;O4	C6H12O6	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 6:0;O4
269.13914	269.1314	.0078	FA 15:4	C15H22O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 15:4
269.13914	269.1314	.0078	WE 15:4	C15H22O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 15:4
269.13914	269.1395	.0003	FA 13:3;O	C13H20O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 13:3;O
269.13914	269.1395	.0003	WE 13:3;O	C13H20O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=WE 13:3;O
269.13914	269.1395	.0003	FA 12:3;O	C12H18O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 12:3;O
269.13914	269.1395	.0003	WE 12:3;O	C12H18O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=WE 12:3;O
301.88039	301.8833	.0029	PI O-40:0	C49H97O12P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=PI O-40:0
211.08774	211.0976	.0099	FA 10:3	C10H14O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 10:3
211.08774	211.0976	.0099	FA 9:3	C9H12O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 9:3
211.08774	211.0976	.0099	WE 9:3	C9H12O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=WE 9:3
255.15354	255.1602	.0067	FA 13:2	C13H22O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 13:2
255.15354	255.1602	.0067	SFE 13:2	C13H22O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 13:2
255.15354	255.1602	.0067	WE 13:2	C13H22O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=WE 13:2
255.15354	255.1602	.0067	FA 12:2	C12H20O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 12:2
255.15354	255.1602	.0067	SFE 12:2	C12H20O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 12:2
255.15354	255.1602	.0067	WE 12:2	C12H20O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=WE 12:2
255.15354	255.1531	.0004	MGDG 36:9	C45H68O10	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=MGDG 36:9
255.15354	255.1523	.0012	PI 29:0	C38H73O13P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=PI 29:0
255.15354	255.1504	.0032	PA 42:10	C45H69O8P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=PA 42:10
301.15853	301.1576	.0009	FA 16:3;O	C16H26O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 16:3;O
221.0818	221.0819	.0001	FA 12:5;O2	C12H14O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 12:5;O2
221.0818	221.0819	.0001	SFE 11:5	C11H12O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 11:5
221.0818	221.0819	.0001	FA 10:5	C10H10O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 10:5
447.21792	447.2236	.0057	FA 20:3;O6	C20H34O8	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 20:3;O6
447.21792	447.2236	.0057	FA 19:3;O6	C19H32O8	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 19:3;O6
294.13433	294.1355	.0012	PA 25:4;O3	C28H47O11P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PA 25:4;O3
337.18633	337.1787	.0076	FA 16:1;O3	C16H30O5	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 16:1;O3
337.18633	337.1940	.0077	FA 20:5	C20H30O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 20:5
337.18633	337.1940	.0077	ST 20:2;O2	C20H30O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 20:2;O2
241.14435	241.1445	.0002	FA 12:2	C12H20O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 12:2
